Timestamp,Item Name,Quantity,Unit Value,Total Value
2026-08-04 22:10:28,Bill Acceptor,2,10000,20000
2026-08-04 22:11:10,Bill Acceptor,1,5000,5000
2026-08-04 22:15:48,Printer,2,10000,20000
2026-08-04 22:16:27,Thermal Paper,10,45,450
2026-08-04 22:16:51,router,3,6000,18000
2026-08-04 22:24:36,Printer,3,15000,45000
2026-08-04 22:25:39,Bill Acceptor,1,5000,5000
2026-08-04 22:35:51,Bill Acceptor,1,5000,5000
2026-08-04 22:37:06,Bill Acceptor,1,5000,5000
2026-08-04 22:37:30,Bill Acceptor,1,5000,5000
2026-08-04 22:38:29,Printer,1,5000,5000
2026-08-04 22:43:10,Bill Acceptor,1,5000,5000
2026-08-04 22:45:44,Bill Acceptor,2,10000,20000
2026-08-04 22:48:07,Bill Acceptor,1,5000,5000
2026-08-04 22:54:02,Bill Acceptor,1,5000,5000
2026-08-04 22:54:24,Bill Acceptor,1,5000,5000
2026-08-04 22:55:11,Bill Acceptor,1,5000,5000
2026-08-04 22:55:35,Bill Acceptor,1,5000,5000
2026-08-04 23:01:00,Bill Acceptor,1,5000,5000
2026-08-04 23:03:12,Bill Acceptor,1,5000,5000
2026-08-04 23:11:07,Printer,1,5000,5000
2026-08-04 23:22:42,Bill Acceptor,1,5000,5000
2026-08-04 23:23:11,Bill Acceptor,1,5000,5000
2026-08-04 23:32:28,Bill Acceptor,1,5000,5000
2026-08-04 23:33:40,Bill Acceptor,2,5000,10000
2026-08-04 23:34:10,Bill Acceptor,1,5000,5000
2026-08-04 23:37:15,Bill Acceptor,2,10000,20000
2026-08-04 23:37:43,Printer,2,10000,20000
2026-08-04 23:38:23,Printer,1,5000,5000
2026-08-04 23:41:34,Printer,1,5000,5000
2026-08-04 23:42:06,Bill Acceptor,1,5000,5000
2026-08-04 23:43:31,Printer,2,10000,20000
2026-08-04 23:44:58,Printer,1,5000,5000
